鄉鎮市區,有無車位,租賃層次,總樓層數,建物型態,屋齡,坪數,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,有無附傢俱,總額元
1,0,13,20,4,11,24,2,2,1,1,1,1,53000
1,0,11,15,4,10,36,3,2,2,1,0,1,38000
7,0,3,15,4,11,102,3,2,3,1,0,1,155000
7,0,5,15,4,13,60,4,2,2,1,1,1,80000
0,0,2,10,2,24,60,3,2,2,1,0,1,41000
8,0,10,15,4,8,342,4,3,5,1,1,0,422000
10,0,13,15,4,7,36,3,2,2,1,1,1,29000
8,0,15,20,4,11,24,2,1,1,1,1,1,47000
8,0,7,10,0,25,108,4,1,2,1,1,1,98000
8,0,12,20,0,32,84,5,0,2,0,1,0,137000
8,0,1,15,4,12,90,5,3,4,1,0,1,146000
3,0,4,15,4,13,42,3,2,2,1,1,1,50000
5,0,7,10,2,11,30,3,0,1,1,1,1,32000
3,0,4,15,4,14,60,3,2,2,1,1,1,62000
3,0,5,10,2,28,84,4,4,3,1,1,1,122000
5,0,7,15,0,14,126,4,1,4,1,1,1,128000
3,0,9,20,0,23,96,3,0,1,0,1,0,152000
3,0,4,5,1,38,36,3,2,2,1,0,0,29000
5,0,12,15,4,8,102,4,2,4,1,1,1,101000
2,0,12,15,0,29,102,3,0,4,0,1,0,197000
2,0,11,15,0,30,96,4,0,2,0,1,0,122000
2,0,3,5,1,52,24,3,2,1,1,0,1,32000
2,0,5,15,4,15,66,4,0,1,0,0,1,104000
4,0,3,10,1,48,12,2,1,1,1,0,1,11000
4,0,4,5,1,53,12,1,1,1,1,0,1,14000
4,0,3,15,4,32,30,2,2,1,1,0,1,38000
3,0,8,15,3,10,18,1,1,1,1,1,1,26000
4,0,5,5,1,8,12,2,2,2,1,0,0,17000
2,0,6,20,0,34,54,4,0,4,0,1,0,92000
2,0,1,10,2,15,48,1,1,1,1,0,0,53000
2,0,7,15,0,32,378,1,0,4,0,1,0,866000
2,0,7,15,4,15,90,5,0,2,1,1,0,107000
5,0,17,20,4,3,84,3,2,3,1,0,1,86000
5,0,4,5,1,40,36,3,0,3,1,1,0,26000
5,0,8,10,2,27,48,3,2,2,1,1,1,35000
5,0,2,5,2,6,18,1,1,1,1,1,1,26000
3,0,-1,5,1,37,54,2,0,4,0,0,0,38000
5,0,5,10,2,26,54,2,2,2,1,1,0,26000
8,0,9,15,0,28,66,4,0,4,0,1,0,68000
9,0,4,15,4,7,72,3,2,2,1,1,1,86000
9,0,4,15,0,18,102,3,0,1,0,1,1,140000
10,0,2,5,1,15,36,3,0,1,1,0,0,26000
8,0,5,10,0,28,312,4,0,4,0,1,0,509000
10,0,7,15,4,10,54,2,2,2,1,1,0,44000
11,0,4,20,4,9,66,3,2,2,1,0,1,68000
11,0,14,15,4,7,48,4,1,2,1,1,1,59000
1,0,8,10,2,28,24,1,1,1,1,1,0,20000
4,0,14,15,0,29,90,3,0,2,1,1,0,110000
0,0,4,5,1,4,72,3,2,2,1,1,0,62000
7,0,2,5,1,21,36,3,2,2,1,0,1,38000
0,0,8,15,4,8,66,4,2,3,1,1,1,71000
7,0,10,20,4,7,36,1,1,2,1,1,1,50000
7,0,5,20,0,8,36,3,1,1,1,1,1,35000
8,0,10,20,4,37,42,2,1,1,1,0,0,32000
8,0,1,10,2,41,102,5,0,1,0,1,1,125000
8,0,1,5,1,15,30,3,1,1,1,0,0,50000
9,0,7,15,0,14,36,2,0,1,1,1,0,53000
8,0,10,15,0,27,72,4,0,1,1,1,1,71000
3,0,8,15,0,40,12,1,1,1,1,1,1,14000
5,0,1,10,2,34,24,3,0,2,0,0,0,41000
3,0,6,15,4,9,24,1,1,1,1,1,1,41000
5,0,7,10,2,11,30,1,2,1,1,1,1,29000
5,0,9,15,4,4,54,2,2,1,1,1,1,62000
5,0,2,15,4,7,150,4,0,1,0,1,0,167000
5,0,5,10,2,38,42,3,0,3,0,0,0,29000
2,0,9,10,2,13,30,2,2,1,1,1,1,65000
2,0,7,10,2,44,66,4,2,2,1,1,0,56000
2,0,4,25,0,34,102,3,1,1,1,1,0,122000
2,0,3,10,2,15,48,4,2,2,1,1,1,35000
2,0,14,25,4,31,72,3,0,3,0,1,0,98000
4,0,1,15,4,43,30,3,0,3,0,1,0,41000
4,0,9,30,4,16,72,4,2,2,1,1,1,74000
9,0,5,30,0,27,66,4,0,1,0,0,0,92000
9,0,5,15,4,23,24,2,2,2,1,1,1,44000
11,0,5,5,1,49,12,2,2,1,1,0,1,11000
4,0,5,15,0,17,66,3,1,1,1,1,1,101000
4,0,4,10,2,15,12,1,1,1,1,0,1,17000
1,0,13,15,4,15,18,1,1,1,1,1,1,32000
9,0,16,20,3,13,18,1,1,1,1,1,1,38000
9,0,14,15,0,15,114,3,0,2,0,1,0,170000
8,0,13,15,4,12,36,2,2,2,1,1,1,47000
9,0,13,15,4,13,24,2,2,2,1,1,1,41000
10,0,10,15,4,10,54,2,1,2,1,1,1,35000
9,0,10,15,4,8,54,2,2,2,1,1,1,95000
9,0,10,15,4,13,24,2,1,2,1,1,1,35000
3,0,9,15,4,12,24,2,2,1,1,1,1,41000
3,0,8,15,4,18,72,3,2,2,1,1,1,62000
3,0,11,15,4,16,36,1,1,1,1,1,1,44000
3,0,11,20,0,6,282,3,0,1,0,1,0,695000
3,0,2,10,2,36,30,3,1,1,1,1,1,26000
5,0,2,5,1,3,42,2,2,2,1,1,1,44000
3,0,15,20,4,24,24,2,1,1,1,1,1,38000
3,0,3,15,4,13,90,4,2,2,1,1,1,104000
6,0,1,5,1,15,42,2,2,2,1,0,0,47000
6,0,10,25,4,24,18,1,1,1,1,1,1,14000
2,0,8,15,4,3,36,2,2,1,1,0,1,59000
2,0,8,10,3,12,24,1,1,1,1,1,1,41000
2,0,9,15,4,14,12,2,1,1,1,1,1,29000
8,0,5,10,2,34,48,4,2,2,1,1,0,44000
9,0,1,10,2,39,36,3,1,1,1,0,0,50000
9,0,7,15,4,30,54,3,2,3,1,1,1,116000
9,0,17,20,4,13,18,1,1,1,1,1,1,38000
1,0,5,15,4,12,30,2,1,1,1,1,1,35000
7,0,16,15,4,5,42,3,2,2,1,1,1,77000
5,0,5,10,2,7,48,3,2,2,1,1,1,53000
3,0,6,10,0,48,90,2,0,1,0,1,0,101000
3,0,1,5,1,15,30,3,2,2,1,0,1,35000
